Periodo,  Total nacional,  Aguascalientes,  Baja California,  Baja California Sur,  Campeche,  Coahuila de Zaragoza,  Colima,  Chiapas,  Chihuahua,  Ciudad de México,  Durango,  Guanajuato,  Guerrero,  Hidalgo,  Jalisco,  México,  Michoacán de Ocampo,  Morelos,  Nayarit,  Nuevo León,  Oaxaca,  Puebla,  Querétaro,  Quintana Roo,  San Luis Potosí,  Sinaloa,  Sonora,  Tabasco,  Tamaulipas,  Tlaxcala,  Veracruz de Ignacio de la Llave,  Yucatán,  Zacatecas
2000,7337041.346,64818.739,211491.517,47824.621,52970.052,173576.36399999997,43256.425,140954.103,193262.797,1882153.3669999999,79564.416,254458.647,149438.72,104838.13900000001,488911.554,659492.238,194294.258,94236.16900000001,57715.114,458945.539,135255.375,243887.247,117366.05300000001,112466.28300000001,129432.42199999999,176864.586,183980.919,117298.42599999999,203367.62699999998,41831.523,356559.331,109988.08300000001,56540.697
2001,7361070.403,67079.18400000001,208348.34600000002,48194.25,54367.43,174404.20899999997,43231.556,141768.487,191194.06699999998,1855591.8590000002,81027.70599999999,257215.15600000002,148022.33,104111.05099999999,490581.67799999996,678497.099,192840.996,96369.18400000001,58572.99,459091.213,136434.858,246618.336,117505.07,117771.28199999999,131503.441,182174.34600000002,186744.938,117921.856,203889.629,42279.872,358235.414,112502.67300000001,56979.903
2002,7425741.024,70391.762,208352.06399999998,48244.359000000004,54736.608,180000.66,43196.17,144082.184,193593.069,1867348.0480000002,83022.474,264302.24100000004,145571.214,104605.125,491644.5,681682.801,192931.37699999998,96718.48300000001,57719.18,474541.57899999997,135023.253,245089.272,122071.61300000001,119166.835,133334.595,183448.37300000002,180044.40899999999,118538.45599999999,212064.89800000002,42675.39599999999,358684.341,113844.464,59071.227
2003,7509114.892000001,72009.55,216751.928,50911.617,57163.709,183688.0,43926.009000000005,144387.973,199122.708,1843621.063,85320.67300000001,267223.13,143730.23,104441.64,493410.708,695778.1490000001,198744.074,99742.942,56953.884000000005,492409.23799999995,136310.897,248836.96399999998,122835.915,124621.692,138343.544,184390.932,187003.384,120553.055,216979.33,43430.52099999999,362805.677,113260.47300000001,60405.282999999996
2004,7812780.832,74816.343,225355.741,54964.742,60183.178,191642.90300000002,45142.767,149061.10199999998,205981.53699999998,1927989.511,88903.42300000001,274369.971,151370.58800000002,107270.06800000001,512890.71200000006,716454.5090000001,202680.96600000001,102460.888,59009.16099999999,519489.092,142493.521,257020.733,131454.131,134883.072,144914.322,188220.658,194164.79100000003,125114.94699999999,223669.84699999998,44494.804000000004,376075.70200000005,118423.481,61813.621
2005,8023613.163,76438.075,234497.62300000002,60419.797,62625.797,198737.515,46832.83,153741.825,213381.818,1956996.2980000002,91555.90699999999,280677.42600000004,152986.095,109123.119,524995.381,741031.7359999999,208351.49899999998,104776.996,61137.755999999994,535785.505,148075.326,261622.05899999998,140760.97699999998,136709.846,149617.573,194207.02300000002,200180.33800000002,130816.336,231148.391,45216.301,383949.843,123281.735,63934.417
2006,8377968.038,79307.629,243139.724,65320.855,64870.14599999999,207867.22699999998,49390.595,155556.63,227212.104,2044095.665,94485.871,293331.41,154350.65099999998,114377.97,546625.498,782660.198,215989.418,107955.89,64039.817,571085.553,150847.113,271945.716,151697.02800000002,144544.666,156552.696,198092.613,205875.526,136694.628,238381.05899999998,48164.469000000005,399951.109,127040.911,66517.65299999999
2007,8634174.109,83333.172,249761.827,71244.065,65862.685,215162.71899999998,51764.96599999999,162896.576,235072.522,2088208.458,96529.789,303434.94899999996,156257.38,116862.565,562504.912,810448.9079999999,218394.768,107817.38,63409.168,604354.309,152662.561,281166.376,161216.39800000002,163452.568,161648.718,199198.663,209745.027,139917.087,244437.907,48619.749,410356.31799999997,129961.07,68470.549
2008,8836558.096,86381.545,251116.699,70766.808,68581.099,218850.681,53082.331,163650.034,243496.83899999998,2142211.214,98654.912,313522.625,156328.657,122019.18800000001,578115.373,829063.2220000001,222950.59,107475.921,67098.98,622289.942,155261.693,283979.7,169221.71300000002,172342.484,163650.975,203260.042,214921.319,144228.562,246818.09699999998,50729.545,413231.409,133675.034,69580.863
2009,8472404.203,81328.948,235825.282,67399.4,65585.823,207872.075,51672.891999999905,160902.758,223917.875,2063603.9630000002,95482.39,301677.125,153015.512,115612.972,555360.313,798576.5129999999,220248.11800000002,102009.597,65424.504,583628.582,150205.88,272370.081,164576.423,157560.953,155225.887,194841.697,208424.201,138456.259,233427.27800000002,49359.815,401594.406,128724.211,68492.47
2010,8951187.402999999,85021.859,249237.96399999998,73218.196,68170.75200000001,223594.36,55508.350999999995,165665.24599999998,236301.605,2162207.77,101235.814,325179.979,160852.753,125315.80900000001,586324.661,849988.7509999999,229358.199,106198.744,70114.765,624634.449,155252.415,290320.184,172610.52800000002,170027.715,163253.845,206327.547,223402.069,144408.78,245444.492,51074.66099999999,423656.439,134708.522,72570.179
2011,9352965.276,89681.609,262669.647,76989.769,71980.916,235159.60100000002,58210.640999999996,173594.325,246718.06,2235240.891,104788.40199999999,343566.684,164149.904,132708.14,610948.941,895664.115,238204.815,110930.507,72159.414,661317.363,159313.50699999998,304072.844,185430.585,179983.255,171010.555,215622.628,235491.995,151956.52,258050.171,53233.005999999994,439012.11799999996,139940.239,75164.109
2012,9734567.062,93741.397,273059.903,81161.18400000001,74425.479,244957.138,60911.664000000004,178575.03100000002,256983.607,2325889.898,108426.016,357114.915,166954.272,137558.137,636438.292,943191.8359999999,246500.488,115626.195,71795.477,696085.317,161978.236,315729.435,189792.277,190226.884,175291.922,224846.31600000002,245955.298,159370.61800000002,267017.73,54426.384000000005,455808.249,147128.394,77599.073
2013,9946401.736,95952.793,280937.80199999997,80983.172,76072.77799999999,248576.12300000002,61662.78,183383.423,260299.22,2381672.4390000002,110830.16,364728.37,165911.12099999998,144609.866,650448.247,962834.05,251509.71899999998,120292.094,74702.83099999999,710781.2309999999,162932.33,324318.661,192482.337,197815.693,179189.542,229060.947,251809.355,164763.869,273873.16,56090.108,456008.294,152587.116,79282.105
2014,10211308.646,100790.016,283213.037,81622.259,78499.57,250895.03,64485.376,192751.711,264063.67100000003,2428084.43,113053.045,369839.559,171289.272,148889.388,667606.527,1010190.725,264974.505,120628.95,77434.82400000001,734761.21,165623.568,328556.293,202416.625,203616.52300000002,182839.74,234759.343,258459.167,166842.374,276264.604,56926.18,474443.638,155269.864,82217.622
2015,10645369.358,106388.411,298628.265,86716.59800000001,79308.06599999999,261396.58399999997,65749.067,194561.88199999998,278317.649,2554054.38,116505.87,389605.473,178075.87600000002,156037.75400000002,690327.06,1039874.827,275932.49199999997,125876.255,83325.603,760735.2590000001,173820.237,337113.383,216860.375,216864.76,191879.991,246225.968,261237.535,172345.05800000002,287993.95399999997,59029.488,493349.88899999997,163308.589,83922.76
2016,11057381.099000001,118790.489,314300.461,92482.972,75998.585,270125.213,71183.547,200676.747,289717.355,2666729.472,121695.227,407276.95,180488.275,163822.663,735084.536,1081890.81,286465.295,129643.383,86663.21800000001,791412.06,174893.704,346388.57399999996,224634.418,228152.195,199316.987,259499.093,269946.503,169846.957,291568.88899999997,60095.73,494440.222,168358.065,85792.504
2017,11398347.029000001,125107.494,323581.762,97221.93,74908.15299999999,281516.964,75606.91,204109.331,298239.63800000004,2750495.668,119181.332,428522.084,181024.30399999997,167836.32100000003,752625.212,1116350.094,298457.11199999996,132780.238,90256.954,824581.3459999999,179681.35,356286.54799999995,229475.634,242526.313,206485.671,266237.01300000004,275075.68,169643.639,298402.05199999997,61654.947,508308.008,173183.641,88983.686
2018,11727948.256,129850.523,328181.708,104199.44,76738.892,289902.106,78453.11,204595.26,307490.943,2830981.9460000005,121556.81599999999,445879.74,185525.565,174807.44199999998,781804.05,1152591.639,305310.43100000004,133876.822,90947.10699999999,852743.192,184356.622,366407.4,238435.61899999998,254433.87399999998,215064.32100000003,270087.393,282116.106,169895.734,303379.857,62446.49,516601.25899999996,179774.922,89511.927
